feature,center_after_shape_transform,scale_after_shape_transform,standard_mean,standard_std_ddof0,minmax_min,minmax_max
Age,38.52974576498698,12.08337512257783,2.1097486261394153e-16,1.0,0.0,1.0
Years at Company,15.721603264517169,11.223668658844234,-9.04177982631178e-17,1.0,0.0,1.0
Monthly Income,20.782564473418145,1.4697353341092176,-1.7444530909624732e-15,1.0,0.0,0.9999999999999999
Number of Promotions,0.8329351123520095,0.9952821028120653,1.0205384403115617e-17,0.9999999999999998,0.0,1.0
Distance from Home,49.99228167199119,28.151796015803782,2.8994736995767734e-17,1.0000000000000002,0.0,0.9999999999999999
Number of Dependents,1.6574941609170717,1.5799482341481916,-5.2839093077813566e-17,1.0,0.0,1.0
