column,iqr_low,iqr_high,iqr_flagged,z_gt_3_flagged,policy
Age,-3.5,80.5,0,0,Flag and retain; no automatic deletion
Years at Company,-17.0,47.0,338,88,Flag and retain; no automatic deletion
Monthly Income,816.0,13712.0,151,90,Flag and retain; no automatic deletion
Number of Promotions,-3.0,5.0,0,989,Flag and retain; no automatic deletion
Distance from Home,-50.0,150.0,0,0,Flag and retain; no automatic deletion
Number of Dependents,-4.5,7.5,48,48,Flag and retain; no automatic deletion
Company Tenure (In Months),-24.0,136.0,0,0,Flag and retain; no automatic deletion
