feature,raw_skew,candidate_yj_skew,applied,lambda,selected_skew
Age,-0.0016077520803529084,-0.0016077520803529084,Identity,,-0.0016077520803529084
Years at Company,0.789908201943281,0.789908201943281,Identity,,0.789908201943281
Monthly Income,5.207804865041842,0.037936355080468234,Yeo-Johnson,0.17125300263805623,0.037936355080468234
Number of Promotions,0.9927951845637288,0.9927951845637288,Identity,,0.9927951845637288
Distance from Home,0.0016339406670485865,0.0016339406670485865,Identity,,0.0016339406670485865
Number of Dependents,0.9183775831504858,0.9183775831504858,Identity,,0.9183775831504858
